t,total,PE_grav,PE_contact,KE_slab,PEel_slab,KE_cube0,PEel_cube0
0.258,-0.07766963010530481,-0.10204000607841682,5.767500897151334e-05,0.0002023465347375046,0.024093602111819334,1.6174258513281214e-05,5.780590703774433e-07
0.2585,-0.07767418635502911,-0.10236832631131494,5.873787029410546e-05,0.0001604749410093173,0.02446151542773297,1.2822119985532037e-05,5.895972639015117e-07
0.259,-0.07767857327457947,-0.10265403276718685,5.9665718057981495e-05,0.00012152453395150649,0.024783964503687507,9.70491180060628e-06,5.998251097813182e-07
0.2595,-0.07768280366618503,-0.1028952334361848,6.044901119846974e-05,8.66157660980518e-05,0.025057844078476808,6.9122777410387995e-06,6.086364854036705e-07
0.26,-0.07768689366063265,-0.10309041259110144,6.107989144919871e-05,5.671920203275194e-05,0.025280582064774616,4.521830717605041e-06,6.159414946104522e-07
0.2605,-0.0776908621518502,-0.10323843938871921,6.155231407163272e-05,3.26273313448088e-05,0.025450179023877348,2.596899593927363e-06,6.216679812866324e-07
0.261,-0.07769473015376992,-0.10333857329128422,6.186214480622968e-05,1.4932611876149312e-05,0.025565237842497757,1.1847756183957488e-06,6.257627157748655e-07
0.2615,-0.07769852010151489,-0.10339046629487264,6.20072208304605e-05,4.012326747360546e-06,0.025624982948529353,3.1550502444678447e-07,6.281922261464689e-07
0.262,-0.07770225512031483,-0.10339416197724519,6.198737448246941e-05,2.060967940786517e-08,0.02562926867350156,1.2560109069119472e-09,6.289432560195882e-07
0.2625,-0.07770595828614127,-0.10335009140325996,6.180441950632964e-05,2.8877571805987072e-06,0.025578576648179436,2.3626941163556706e-07,6.280228406849708e-07
0.263,-0.07770965190186226,-0.10325906595084326,6.146210056432908e-05,1.2326710919415979e-05,0.02547400239597026,9.973835235268655e-07,6.254580034673882e-07
0.2635,-0.0777133568117666,-0.103122267144698,6.09660077133455e-05,2.784636656258558e-05,0.025317231558186232,2.245105385023514e-06,6.212950842100728e-07
0.264,-0.07771709177564651,-0.10294123360817956,6.032345842955423e-05,4.877115362734086e-05,0.025110506437902608,3.925183852321515e-06,6.155987212160688e-07
0.2645,-0.07772087292131935,-0.10271784526590615,5.9543350561029704e-05,7.426614095586589e-05,0.024856583777927564,5.970624625689049e-06,6.084505166396358e-07
