scene,s,arm,iterations,w_r,w_row,L,a_tilde,rho,v,dE_pred,dE_meas,dE_be,modal_ke,modal_pe,reldiff_sym,reldiff_be,sign_agree,sign_agree_be,band,passive_meas,passive_be,n_contacts,n_active_support,valid,runner_gap,preflight_res,preflight_ok,r1_ok,r1_res,e_modal_trail_peak,reason,wall_s
shelf,0.00031622776601683794,implicit,1,0.9261105482149443,2.6692612693736537,73.64517870669545,0.000144,21.033501251306504,-1.0,-0.1873177437824645,0.11241605759239715,-0.1887510426859027,0.4015561337043999,0.02049710169305314,1.6001356589205342,0.007651698523033295,,,False,False,True,0,1,True,50.001,4.235164736271502e-21,True,,,0.5524184011802505,,0.008416124968789518
shelf,0.0023713737056616554,implicit,1,0.9261105482149443,2.0737279759167224,552.2609305740478,0.000144,157.72900790341708,-1.0,-0.24111166141177914,0.0665979847852558,-0.24198379626831956,0.41144237473810047,0.02969694839016566,1.276212209709415,0.003617140918999166,,,False,False,True,0,1,True,50.001,2.541098841762901e-21,True,,,0.623938025187345,,0.00847137498203665
shelf,0.01778279410038923,implicit,1,0.9261105482149443,1.6623667137147287,4141.372738780319,0.000144,1182.8006967052563,-1.0,-0.30077599131634114,0.005972591893230295,-0.30142513569084084,0.4098636367787615,0.03011104527827628,1.0198572760647928,0.0021582320173187024,,,False,False,True,0,1,True,50.001,0.0,True,,,0.5175741135398804,,0.008467582985758781
shelf,0.1333521432163324,implicit,1,0.9261105482149443,1.3428797316715244,31055.914354986544,0.000144,8869.75393253666,-1.0,-0.3723341580481603,-0.14560015425259332,-0.37324038054564745,0.30352030172407235,0.03883050694909554,0.6089530033563013,0.002433895676501315,,,False,True,True,0,1,True,50.001,0.0,True,,,0.3818351187021786,,0.008444041945040226
shelf,1.0,implicit,1,0.9261105482149443,1.0982991303932397,232886.50340329096,0.000144,66513.77112213019,-1.0,-0.45524937384597264,-0.3699880752860132,-0.45620998943457636,0.11496255219808377,0.0418447761963216,0.18728482334784372,0.0021100865674748416,,,False,True,True,0,1,True,50.001,1.6940658945086007e-21,True,True,0.0,0.15592597120379983,,0.00848091603256762
shelf,1e-07,mass,1,0.9261105482149443,3.501039611926757,0.0232886503403291,0.000144,0.006651377112213019,-1.0,-0.141864807502245,0.1732176254406479,-0.14186666774000667,0.4201123909075391,0.0009499145737030238,2.2210049024167375,1.3112750049968856e-05,False,True,False,,,0,1,True,50.001,4.235164736271502e-21,True,,,0.40592055707511737,,0.009384875069372356
shelf,7.498942093324558e-07,mass,1,0.9261105482149443,3.501039611926757,0.17464024033381123,0.000144,0.04987829180534977,-1.0,-0.13569136769414397,0.17939106524874893,-0.13569322793190564,0.4201123909075391,0.00712335438180406,2.3220521562809107,1.3709330175350335e-05,False,True,False,,,0,1,True,50.001,1.7787691892340307e-20,True,,,0.4169194357523203,,0.008562500006519258
shelf,5.623413251903491e-06,mass,1,0.9261105482149443,3.501039611926757,1.309617049427534,0.000144,0.3740344219622627,-1.0,-0.0893971000565696,0.2256853328863233,-0.08939896029433125,0.4201123909075391,0.0534176220193784,3.5245263296405795,2.0808703643326993e-05,False,True,False,,,0,1,True,50.001,9.317362419797304e-21,True,,,0.458309131780547,,0.00845712493173778
shelf,4.216965034285822e-05,mass,1,0.9261105482149443,3.501039611926757,9.820742418087642,0.000144,2.804862471205131,-1.0,0.2577609322104695,0.5728433651533624,0.25775907197270786,0.4201123909075391,0.4005756542864174,1.2223824232821239,7.216911211701527e-06,True,True,False,,,0,1,True,50.001,1.2705494208814505e-20,True,,,0.6112239606794585,,0.008539042086340487
shelf,0.00031622776601683794,mass,1,0.9261105482149443,3.501039611926757,73.64517870669545,0.000144,21.033501251306504,-1.0,2.8610789134134955,3.1761613463563876,2.861077053175732,0.4201123909075391,3.003893635489442,0.11012713821548305,6.501875060710294e-07,True,True,False,,,0,1,True,50.001,4.235164736271502e-21,True,,,2.221985032583004,,0.008474000031128526
shelf,0.0023713737056616554,mass,1,0.9261105482149443,3.501039611926757,552.2609305740478,0.000144,157.72900790341708,-1.0,22.383209704965573,22.698292137908457,22.383207844727803,0.4201123909075391,22.526024427041513,0.014076731491863947,8.310862448084858e-08,True,True,False,,,0,1,True,50.001,2.541098841762901e-21,True,,,19.7401917668183,,0.008485125028528273
shelf,0.01778279410038923,mass,1,0.9261105482149443,3.501039611926757,4141.372738780319,0.000144,1182.8006967052563,-1.0,168.77853804912291,169.09362048206575,168.77853618888508,0.4201123909075391,168.9213527711988,0.0018668394488114699,1.102176764856667e-08,True,True,False,,,0,1,True,50.001,0.0,True,,,86.87512076631693,,0.008523416938260198
shelf,0.1333521432163324,mass,1,0.9261105482149443,3.501039611926757,31055.914354986544,0.000144,8869.75393253666,-1.0,1266.5886280351942,1266.9037104681368,1266.588626174956,0.4201123909075391,1266.7314427572699,0.00024876461541526064,1.468699568531911e-09,True,True,False,,,0,1,True,50.001,0.0,True,,,860.064348515539,,0.008456832962110639
shelf,1.0,mass,1,0.9261105482149443,3.501039611926757,232886.50340329096,0.000144,66513.77112213019,-1.0,9499.002922308164,9499.318004741106,9499.002920447925,0.4201123909075391,9499.14573703024,3.31700532697308e-05,1.9583514622164643e-10,True,True,False,,,0,1,True,50.001,1.6940658945086007e-21,True,True,0.0,6242.269527591232,,0.008394249947741628
shelf,1e-06,mass,2,0.9261105482149443,3.501039611926757,0.232886503403291,0.000144,0.0665137711221302,-1.0,-0.13331557633891777,-0.004867524554707181,-0.1465731990063066,0.3133195999324382,0.0034109365058446438,0.9634887033580168,0.09944541389285988,True,True,False,,,0,1,True,50.001,9.317362419797304e-21,True,,,0.0,,0.004327917005866766
shelf,1.5e-05,mass,2,0.9261105482149443,3.501039611926757,3.4932975510493653,0.000144,0.9977065668319531,-1.0,-0.000327536020494388,0.01855479777768032,-0.15039318783135824,0.3131798073265625,0.028878523010012314,57.64964039580568,458.16533883617564,False,True,True,,,0,1,True,50.001,1.7787691892340307e-20,True,,,0.0,,0.0038126249564811587
shelf,0.001,mass,2,0.9261105482149443,3.501039611926757,232.886503403291,0.000144,66.5137711221302,-1.0,9.356331014954293,2.158037471549351,0.8772317020968226,0.2961280077342897,2.200498732836143,0.7693500296109508,0.9062419124874125,True,True,False,,,0,1,True,50.001,8.470329472543003e-22,True,,,0.0,,0.003734583966434002
shelf,1e-06,mass,4,0.9261105482149443,3.501039611926757,0.232886503403291,0.000144,0.0665137711221302,-1.0,-0.13331557633891777,-0.08858874107406267,-0.14678127397559004,0.265567337860703,0.0014714260238032234,0.33549594498357466,0.10100618402188412,True,True,False,,,0,1,True,50.001,9.317362419797304e-21,True,,,0.0,,0.005021917051635683
shelf,1.5e-05,mass,4,0.9261105482149443,3.501039611926757,3.4932975510493653,0.000144,0.9977065668319531,-1.0,-0.000327536020494388,-0.0886985968872489,-0.15193503219400517,0.26629948121511887,0.004461014249511921,269.8056254495791,462.87274280450754,True,True,True,,,0,1,True,50.001,1.7787691892340307e-20,True,,,0.0,,0.0049157500034198165
shelf,0.001,mass,4,0.9261105482149443,3.501039611926757,232.886503403291,0.000144,66.5137711221302,-1.0,9.356331014954293,0.005623223892011087,-0.19616446543921828,0.23562101130992041,0.1615875002907913,0.9993989926304421,1.0209659603882852,True,False,False,,,0,1,True,50.001,8.470329472543003e-22,True,,,0.0,,0.004867875017225742
shelf,1e-06,mass,8,0.9261105482149443,3.501039611926757,0.232886503403291,0.000144,0.0665137711221302,-1.0,-0.13331557633891777,-0.10138597551586281,-0.14678142067039612,0.25827856195087395,0.0012347386347413207,0.239503902693882,0.10100728437947255,True,True,False,,,0,1,True,50.001,9.317362419797304e-21,True,,,0.0,,0.0072967089945450425
shelf,1.5e-05,mass,8,0.9261105482149443,3.501039611926757,3.4932975510493653,0.000144,0.9977065668319531,-1.0,-0.000327536020494388,-0.10357977011348396,-0.15193891690380967,0.25892457716381023,0.00285390991882637,315.23932524166054,462.8846032093529,True,True,True,,,0,1,True,50.001,1.7787691892340307e-20,True,,,0.0,,0.007209750008769333
shelf,0.001,mass,8,0.9261105482149443,3.501039611926757,232.886503403291,0.000144,66.5137711221302,-1.0,9.356331014954293,-0.13911797739850051,-0.2142106322781121,0.2227733633292545,0.042741064992356206,1.0148688601521416,1.0228947257141434,False,False,False,,,0,1,True,50.001,8.470329472543003e-22,True,,,0.0,,0.007188417017459869
