block,trial,n_modes,coupled_K,kappa,h,v,w_r,a_tilde,w_modal,uGu,dE,dE_pred
B_matched,817,7,1,2.310374269686622,0.014166275559419596,-0.7409776002460537,0.013573623756171481,0.31540052809622243,0.017159684301429272,0.017159684301428925,-1.515808929349479,-1.515808929349471
B_matched,818,1,0,1.0457230746698953,0.0020350182517643667,-6.683585940712449,0.001907034147557782,0.0,0.011067326158736068,0.011067326158736068,-1721.4845268795107,-1721.4845268795095
B_matched,819,6,1,2.036168528110682,0.0025984244674796815,-0.08592010437867886,0.008189516246148013,0.0,0.1258640520891949,0.12586405208919488,-0.027534755053949422,-0.0275347550539494
B_matched,820,7,0,2.0,0.0004692107166684113,-0.7820724671327454,0.026431559073460245,0.0007558866091319289,1.1246908008566106,1.1246908008566103,-0.2656698808706004,-0.2656698808706016
B_matched,821,7,0,0.6963771253342608,0.01616629586851978,-8.277810701368946,0.7293693000718532,0.0,1.0770398645948824,1.0770398645948824,-18.96639790917466,-18.96639790917466
B_matched,822,1,1,2.0,0.0014938551750381206,-0.5795793796504819,0.036093653772582994,0.0,7.728993284747961e-05,7.728993284747961e-05,-4.643399133454261,-4.643399133454261
B_matched,823,3,0,1.0,0.010487327395127474,-3.557135318359936,0.011747129712399917,0.0,0.45603440762077224,0.45603440762077224,-13.524701878209953,-13.524701878209799
B_matched,824,6,1,1.0,0.0013251086579420244,-0.051850930089874105,1.0871190395575347,0.001511530283039813,2.8017623287065425,2.801762328706543,-0.0003456673385925905,-0.00034566733859259046
B_matched,825,5,1,2.0,0.001618536074275775,-0.10599418618224574,0.07526332434314165,0.0,0.8017324309387189,0.8017324309387193,-0.006405257629112371,-0.006405257629112353
B_matched,826,6,1,3.034663904513625,0.007635271056341411,-1.760426201547511,0.028302026833067324,0.0,2.092646708461484,2.092646708461482,-0.7305929557662196,-0.7305929557662325
B_matched,827,8,1,1.3356250721605742,0.00031877970793509893,-1.0603617178553844,0.0069329278570135,8.03599836219128e-05,1.0491610440009653,1.0491610440009653,-0.5323233519675057,-0.5323233519674847
B_matched,828,6,0,1.0,0.0006958476719196303,-0.0810467124551125,0.6536744244788354,0.000214806153851058,5.189018246891194,5.189018246891194,-0.0005621183553852433,-0.0005621183553852433
B_matched,829,8,1,1.0,0.001709739648422863,-1.6503761117957143,0.036807935636055396,7.924219356074365e-06,34.634004607063076,34.634004607063076,-0.039280032837872625,-0.039280032837871216
B_matched,830,4,0,0.3714550117865671,0.00044416701517233163,-0.021821569455977022,0.6165569490782118,0.0,394.8580704959469,394.8580704959469,-6.020372237258297e-07,-6.020372237258422e-07
B_matched,831,3,1,1.0,0.030813451480019058,-0.12559041128540657,0.054690205813561654,0.0,0.11204661088367794,0.11204661088367779,-0.04729894608542898,-0.047298946085428964
B_matched,832,8,0,2.0,0.0038368454017064903,-0.4362281796436063,3.1757267542327483,0.0,30.883523168073662,30.883523168073662,-0.0027935880142584135,-0.0027935880142584205
B_matched,833,1,1,3.8504752122706978,0.00243034879436006,-0.05482606958119929,0.5300211957855896,0.0,0.03062979803440557,0.03062979803440557,-0.002680721107120334,-0.0026807211071203344
B_matched,834,6,0,1.0,0.0008033096016474018,-0.11063766927291308,0.003345698846188506,0.0,16.797921542021083,16.797921542021083,-0.0003642788870228397,-0.0003642788870225313
B_matched,835,3,0,3.9275953086428586,0.0004738142687978465,-4.259886192804716,1.8721406775239398,2.9286805378385453e-06,0.030064212194599475,0.03006421219459948,-4.769893735866256,-4.769893735866256
B_matched,836,4,1,1.0,0.0003920157042027891,-5.113639980753709,0.010734730216880513,0.0,179.34143480733425,179.34143480733428,-0.07289935192966368,-0.07289935192918837
B_matched,837,5,0,2.0,0.00272538596844033,-0.06538991553479798,4.9877256711017415,0.0,0.5066735971163787,0.5066735971163787,-0.0003891090585991128,-0.00038910905859911276
B_matched,838,3,1,1.0,0.0301760118005992,-0.33994074183586537,0.933540661392208,0.0,0.8253818722493024,0.8253818722493024,-0.032849572891841455,-0.03284957289184145
B_matched,839,4,0,2.181590907787444,0.014810461617334498,-0.3818636199292943,0.004311618811325606,0.0,0.3942272915508781,0.3942272915508781,-0.18294302066136936,-0.18294302066136933
B_matched,840,2,1,1.0,0.025244919535112872,-0.10609380688230716,0.8040025272605295,0.0,51.10314823932923,51.10314823932923,-0.0001084233645321283,-0.00010842336453212904
B_matched,841,4,1,2.0,0.00498902044205278,-1.8296307891655808,0.0026591253980039007,0.0025032014176664978,0.008838968648230802,0.008838968648230826,-140.91680029948918,-140.91680029948907
B_matched,842,1,0,2.0,0.0035922831949061524,-0.5618928419427168,1.5868373820206734,5.900038774550339e-06,1.1574170706333415,1.1574170706333415,-0.05752446999214339,-0.057524469992143404
B_matched,843,1,1,2.0,0.009865447407833117,-3.978532957980053,0.010539890663719133,0.0,1.7031279664074688e-05,1.703127966407469e-05,-749.6846421060508,-749.684642106051
B_matched,844,6,1,3.884020280703297,0.0006101818701920224,-0.9766824820618557,0.09263437333377476,2.666476451015008e-06,12.285041353235561,12.285041353235561,-0.0385334327639093,-0.038533432763909276
B_matched,845,2,0,1.0,0.0003537646818871698,-0.014903059372345614,0.13345659434789903,0.04761691548358882,7.423213904990901,7.423213904990901,-1.4695127299438468e-05,-1.4695127299438696e-05
B_matched,846,4,1,3.0322032154205347,0.0005373723786375572,-0.2627226456639195,0.12016720769419335,7.306160906898828e-06,0.6873145276645258,0.6873145276645257,-0.0427397831533215,-0.04273978315332146
B_matched,847,8,1,1.0,0.009822141784706057,-0.07250883151884496,5.91756266048489,0.0,3.9525854960948954,3.9525854960948865,-0.00026633494071329645,-0.0002663349407132957
B_matched,848,3,0,0.7153190934851239,0.003357117678232743,-0.01670660261339914,6.862914786078792,3.4875822935876155e-06,0.3720092223840494,0.3720092223840494,-1.9289115584039913e-05,-1.9289115584039913e-05
B_matched,849,1,1,3.95467442758096,0.0007603258244438128,-0.5479419725189043,0.0963532409060419,0.06720448309256666,0.012554728087346069,0.012554728087346069,-1.1776909871489107,-1.1776909871489105
B_matched,850,7,1,1.9874359927498528,0.00031623266271353206,-0.0133734410451129,0.039811406393859654,0.0,0.19922531197944332,0.19922531197944332,-0.0003741034570006992,-0.0003741034570006992
B_matched,851,6,1,1.846653845414073,0.00042894398991500266,-2.1162495211592534,2.3976163442929534,0.0,0.09681589997042059,0.09681589997042062,-0.8977016806342056,-0.8977016806342057
B_matched,852,5,0,2.7430013100274415,0.0008961104353664295,-0.1450148205407274,0.8558557447116679,0.0,0.5442945355093227,0.5442945355093227,-0.007509657525169457,-0.007509657525169457
B_matched,853,8,0,3.835577197855929,0.0007861276734057262,-0.2442927499171205,0.017082026065041597,3.5304970981413026e-06,0.2042035745057001,0.2042035745057001,-0.13484598069859466,-0.13484598069859452
B_matched,854,1,1,1.0,0.002324743863412054,-0.419050836728169,2.2016403567855956,0.0009220915122159665,0.01239643728165336,0.01239643728165336,-0.039656877835036686,-0.03965687783503668
B_matched,855,5,1,2.0,0.006178109344817605,-1.3453575272158371,0.0051141261108856445,0.006713261987282158,0.3163080025507312,0.3163080025507314,-2.8144130736515365,-2.8144130736515645
B_matched,856,4,0,1.0,0.0009158692553187691,-0.01402510563031323,0.8865677483369632,0.00046213829511153695,0.09138413252653146,0.09138413252653146,-0.0001005691322375143,-0.0001005691322375143
B_matched,857,8,1,0.9355545827231888,0.014462735226506852,-2.0776075293586627,0.008789074816838442,0.0,34.709767983827085,34.709767983827106,-0.062163485636176574,-0.06216348563617988
