variant,N,m,k,w_r,w_m,L,rho,dE_mass,dE_impl,y,y_theory,w_eff,dE_mass_form,dE_impl_form,sign_agree
i_single,1,10.0,51057477.16974054,1.0,1.1,0.5105747716974055,0.4641588833612777,-0.2435641439266919,-0.4919429531652988,-0.5358411166387222,-0.5358411166387222,1.01637801046414,-0.2435641439266919,-0.4919429531652988,True
i_single,1,10.0,74942127.59637572,1.0,1.1,0.7494212759637572,0.681292069057961,-0.14486724133729034,-0.4941821314646964,-0.31870793094203875,-0.318707930942039,1.0117727213609689,-0.14486724133729048,-0.4941821314646964,True
i_single,1,10.0,109999999.99999999,1.0,1.1,1.0999999999999999,0.9999999999999998,0.0,-0.49586776859504134,0.0,-2.220446049250313e-16,1.0083333333333333,0.0,-0.49586776859504134,band
i_single,1,10.0,161457919.43842757,1.0,1.1,1.6145791943842758,1.4677992676220688,0.21263603073730408,-0.4971007420150484,0.467799267622069,0.4677992676220688,1.0058323348567118,0.21263603073730397,-0.49710074201504834,True
i_single,1,10.0,236987815.903507,1.0,1.1,2.3698781590350704,2.154434690031882,0.5247430409235827,-0.49798377191162263,1.154434690031882,1.154434690031882,1.0040487827156246,0.5247430409235827,-0.49798377191162274,True
i_single,1,10.0,347850542.6185217,1.0,1.1,3.4785054261852166,3.1622776601683786,0.9828534818947179,-0.49860666227128564,2.1622776601683795,2.1622776601683786,1.002794462718102,0.9828534818947174,-0.4986066622712856,True
i_single,1,10.0,510574771.69740546,1.0,1.1,5.105747716974055,4.6415888336127775,1.6552676516421716,-0.4990413646764915,3.641588833612778,3.6415888336127775,1.0019209536350357,1.6552676516421716,-0.4990413646764915,True
i_single,1,10.0,749421275.9637567,1.0,1.1,7.494212759637568,6.812920690579607,2.642236677536185,-0.49934246973907154,5.812920690579608,5.812920690579607,1.0013167921832726,2.6422366775361845,-0.4993424697390715,True
i_single,1,10.0,1099999999.9999998,1.0,1.1,11.0,10.0,4.090909090909091,-0.49954995499549953,9.0,9.0,1.000900900900901,4.09090909090909,-0.49954995499549953,True
i_single,1,10.0,1614579194.3842757,1.0,1.1,16.145791943842756,14.677992676220686,6.2172693982821325,-0.4996924173231748,13.677992676220693,13.677992676220686,1.000615544015002,6.217269398282131,-0.4996924173231748,True
i_single,1,10.0,2369878159.03507,1.0,1.1,23.698781590350702,21.544346900318818,9.338339500144919,-0.49978999345342284,20.54434690031882,20.544346900318818,1.000420189578279,9.338339500144917,-0.4997899934534228,True
i_single,1,10.0,3478505426.1852164,1.0,1.1,34.78505426185217,31.622776601683785,13.91944390985627,-0.4998567132189427,30.622776601683796,30.622776601683785,1.0002866557100625,13.919443909856264,-0.49985671321894276,True
i_single,1,10.0,5105747716.974054,1.0,1.1,51.05747716974055,46.41588833612777,20.643585607330806,-0.49990228167819545,45.41588833612778,45.41588833612777,1.0001954748465571,20.643585607330802,-0.49990228167819534,True
