cell,n_modes,kappa,h,v,w_r,dE_full,inject_full,dE_diag,inject_diag,dE_block2,inject_block2,dE_rank1,inject_rank1
413,3,2.0,0.007612952157879582,-0.019852693674984784,0.18530125431186475,-0.0001764800539099567,0,-0.0010438443135015402,0,-0.0008635442715199755,0,-0.0010589754110490273,0
414,6,2.0,0.00257753677074142,-0.08032608873160871,0.08228744985098875,-0.021299438942897812,0,-0.024636778353269,0,-0.024317777625789287,0,-0.024747579190861176,0
415,6,2.0,0.018631597252446275,-0.035825904803774504,0.04214277427019007,-0.011124843700536399,0,-0.015010318073142287,0,-0.013921098292895872,0,-0.015020152339522926,0
416,7,1.0,0.00769871038313825,-3.417430310192626,0.17649344300968492,-0.19320820497006252,0,-5.103758125801484,0,-5.06378364675539,0,-7.305459939220274,0
417,2,2.0,0.008963735522324077,-0.01840910158933544,0.008517182429601458,-0.014875279935909577,0,-0.014832337036526661,0,-0.014875279935909577,0,-0.014483746965233964,0
418,6,1.0,0.0006211383516232277,-0.5915357088070826,0.028200324577650482,-0.026853991640321873,0,-0.04322796887896807,0,-0.05174982815211404,0,-0.04767893073279961,0
419,2,2.0,0.020412455762071093,-0.049138975594432595,0.009902668545754919,-0.057515803882476096,0,-0.040420075321438376,0,-0.057515803882476096,0,0.010343897515745354,1
420,6,1.0,0.014127449324954269,-0.06149994898701841,0.0014386508436677711,-0.024992691623225927,0,-0.787832905156189,0,-0.04239796017281994,0,-1.2117683912224313,0
421,2,2.0,0.02305194050048287,-0.03222365534755114,0.006070795231473476,-0.02121536151526636,0,-0.022899406314087878,0,-0.02121536151526636,0,0.0014574676336760323,1
422,3,1.0,0.015179244921847683,-0.028575621482158885,0.9394373143090556,-0.00042598005367234214,0,-0.0004346037643586078,0,-0.0004342792759886958,0,-0.0004346038000042652,0
423,5,1.0,0.024289243930670997,-0.3093013273008766,3.2624719928288464,-0.00046908438801125316,0,-0.0058860471170188704,0,-0.001142436593508744,0,-0.014505399104919567,0
424,2,2.0,0.0003898602525579784,-0.30943320017404885,0.02660211040589541,-1.43157816655425,0,-1.4378808498246554,0,-1.43157816655425,0,-1.4296247202902652,0
425,5,1.0,0.002360910638731927,-0.4028454119605059,0.057303483907990914,-0.16896664074987755,0,-0.16465406173211639,0,-0.16514337476371854,0,-0.18958229681726024,0
426,5,1.0,0.012381751315713977,-2.123200645073038,0.051957748819305365,-19.151829180402636,0,-29.446278361704124,0,-26.14837282305118,0,-29.453532434442888,0
427,8,2.0,0.01660707711626379,-2.466683771994948,0.0018389463679063076,-401.2694227444824,0,-875.3094577405645,0,-816.4907173616232,0,-1042.2547807402664,0
428,6,1.0,0.004585122791129929,-0.8576071169411131,0.11348958211869953,-0.7537556254240574,0,-1.0904748546030767,0,-1.4743893266215806,0,-2.796977783499182,0
429,5,2.0,0.00038840441406128235,-0.013704283613999212,0.17230620420854864,-0.0004441924382999393,0,-0.00041978996385661844,0,-0.0004199736567741704,0,-0.0004730329520499975,0
430,4,2.0,0.0015135509941713954,-0.010007829202888823,0.07448194632997687,-3.2576014397315677e-06,0,-3.216519096972551e-06,0,-3.2172257299136224e-06,0,-3.216384429667574e-06,0
431,4,2.0,0.007373463085797468,-0.2886090924735548,0.002220226230116521,-1.9595030565009992,0,-9.119214298553906,0,-2.322247323382925,0,-9.113657031733783,0
432,6,2.0,0.010121257627901538,-0.08998025566502962,0.00655617937965752,-0.0005267857705538725,0,-0.0008732889641057673,0,-0.0008478813393968387,0,-0.0021219353219219528,0
433,7,2.0,0.007414730006929179,-0.03657164354177445,0.007233705301586477,-0.0005044974318551831,0,-0.00634582697678647,0,-0.006980511522848315,0,-0.012774806632779703,0
434,7,1.0,0.0013983184624321906,-4.802876994618563,0.22992308495801594,-5.590023985405843,0,-15.084895306381966,0,-15.817034914277123,0,-30.14071941217604,0
435,8,1.0,0.0027057382176767916,-2.5848585472161236,0.3819055002547342,-6.970785591573329,0,-8.731744761748038,0,-8.436887931678095,0,-8.732607950306202,0
436,4,2.0,0.00737449438221692,-0.36452086419739627,4.829172753538288,-0.013717858108370777,0,-0.013727858389251996,0,-0.013722545763727773,0,-0.013728368248893123,0
437,5,1.0,0.003148377178962206,-0.45705754412503546,0.09578772801317685,-0.698320352419261,0,-0.7056473574431119,0,-0.7003791766828769,0,-0.7296721343253549,0
438,6,2.0,0.0006166905141743639,-0.7660372076939832,0.2916268357686402,-0.10693655964332915,0,-0.10315965802742433,0,-0.10426106835476712,0,-0.11826264270275544,0
439,7,1.0,0.0006976350722659597,-0.03328736533860307,0.021252475912076567,-0.0005116460320545996,0,-0.00031053401299202185,0,-0.00035411899082964104,0,-0.0020886273752759414,0
440,2,1.0,0.006832257547920423,-0.6699061578702504,0.2829908383318531,-0.05155108538676079,0,-0.051554502545329894,0,-0.05155108538676079,0,-0.05154221851113361,0
