M,m,b,order,n,E_plus,dE,D_modal,lam_c,lam_s,Cc,n_conv,converged_flag
1.0,1.0,100.0,B,3,0.8610812748069266,0.36108127480692664,0.8526393015245057,0.0008700617586511126,0.0007401235173022252,-5.421010862427522e-20,,False
1.0,1.0,100.0,B,4,0.24475989632947556,-0.2552401036705244,0.24236028950271601,0.0009307236428965904,0.0008614472857931808,-2.710505431213761e-20,,False
1.0,1.0,100.0,B,6,0.030311291681382357,-0.46968870831861764,0.030014122155094292,0.0009756209300305339,0.0009512418600610677,-2.371692252312041e-20,,False
1.0,1.0,100.0,B,8,0.00912466566024267,-0.49087533433975733,0.009035208153769701,0.000986624088332157,0.0009732481766643143,-7.284483346386983e-20,,False
1.0,1.0,100.0,B,12,0.005118846411639667,-0.4948811535883603,0.0050686616428981006,0.0009899815401641205,0.000979963080328241,-3.5575383784680614e-20,,False
1.0,1.0,100.0,B,16,0.0049148546932010545,-0.4950851453067989,0.004866669843267712,0.0009901831929902496,0.000980366385980499,1.1858461261560205e-19,,False
1.0,1.0,100.0,B,24,0.004902007266801623,-0.4950979927331984,0.004853948372029059,0.000990196031948995,0.0009803920638979898,6.437450399132683e-20,,False
1.0,1.0,100.0,B,32,0.004901960951992186,-0.4950980390480078,0.004853902511286378,0.000990196078263694,0.0009803921565273883,-1.4738373282224826e-19,,False
1.0,1.0,100.0,B,48,0.004901960784315858,-0.4950980392156841,0.004853902345253937,0.0009901960784313704,0.0009803921568627414,-5.421010862427522e-20,,False
1.0,1.0,100.0,B,64,0.004901960784313732,-0.4950980392156863,0.0048539023452518325,0.0009901960784313726,0.0009803921568627457,-1.0164395367051604e-20,,False
1.0,1.0,100.0,A,53,0.004901960784313732,-0.4950980392156863,0.0048539023452518325,0.0009901960784313726,0.0009803921568627457,-1.0164395367051604e-20,37,True
1.0,1.0,100.0,B,54,0.004901960784313732,-0.4950980392156863,0.0048539023452518325,0.0009901960784313726,0.0009803921568627457,-1.0164395367051604e-20,38,True
