t,total,KE_slab,PEel_slab,KE_cubes,max_pen,impactor_y,KE_body0,KE_body1,KE_body2,KE_body3
0.0515,-0.013613394,0.00039087548,0.041947742,0.23420017,0,nan,0.00039087548,0.078066724,0.078066724,0.078066724
0.052,-0.013687402,0.00069701612,0.040944618,0.23872568,0,nan,0.00069701612,0.079575225,0.079575225,0.079575225
0.0525,-0.013762075,0.0010715781,0.039717758,0.24329448,0,nan,0.0010715781,0.081098161,0.081098161,0.081098161
0.053,-0.013837605,0.0014992799,0.038290753,0.2479066,0,nan,0.0014992799,0.082635533,0.082635533,0.082635533
0.0535,-0.013914132,0.0019633379,0.036689932,0.25256202,0,nan,0.0019633379,0.08418734,0.08418734,0.08418734
0.054,-0.013991738,0.0024460732,0.034943653,0.25726075,0,nan,0.0024460732,0.085753583,0.085753583,0.085753583
0.0545,-0.014070445,0.0029295371,0.033081582,0.26200278,0,nan,0.0029295371,0.087334261,0.087334261,0.087334261
0.055,-0.014150217,0.0033961333,0.031133957,0.26678812,0,nan,0.0033961333,0.088929374,0.088929374,0.088929374
0.0555,-0.014230961,0.003829215,0.029130869,0.27161677,0,nan,0.003829215,0.090538923,0.090538923,0.090538923
0.056,-0.014312535,0.0042136373,0.027101581,0.27648872,0,nan,0.0042136373,0.092162907,0.092162907,0.092162907
0.0565,-0.01439475,0.0045362464,0.02507391,0.28140398,0,nan,0.0045362464,0.093801327,0.093801327,0.093801327
0.057,-0.014477379,0.0047862908,0.023073671,0.28636255,0,nan,0.0047862908,0.095454182,0.095454182,0.095454182
0.0575,-0.014560169,0.0049557417,0.021124224,0.29136442,0,nan,0.0049557417,0.097121472,0.097121472,0.097121472
0.058,-0.014642845,0.0050395121,0.019246105,0.29640959,0,nan,0.0050395121,0.098803198,0.098803198,0.098803198
0.0585,-0.014725122,0.0050355723,0.017456771,0.30149808,0,nan,0.0050355723,0.10049936,0.10049936,0.10049936
0.059,-0.01480672,0.0049449563,0.015770454,0.30662987,0,nan,0.0049449563,0.10220996,0.10220996,0.10220996
0.0595,-0.014887365,0.0047716638,0.01419812,0.31180496,0,nan,0.0047716638,0.10393499,0.10393499,0.10393499
0.06,-0.014966806,0.0045224619,0.012747532,0.31702337,0,nan,0.0045224619,0.10567446,0.10567446,0.10567446
0.0605,-0.01504482,0.0042065958,0.011423417,0.32228508,0,nan,0.0042065958,0.10742836,0.10742836,0.10742836
0.061,-0.015121218,0.0038354209,0.010227705,0.32759009,0,nan,0.0038354209,0.1091967,0.1091967,0.1091967
0.0615,-0.015195855,0.0034219686,0.0091598591,0.33293841,0,nan,0.0034219686,0.11097947,0.11097947,0.11097947
0.062,-0.015268631,0.0029804653,0.0082172468,0.33833004,0,nan,0.0029804653,0.11277668,0.11277668,0.11277668
0.0625,-0.015339495,0.0025258181,0.0073955644,0.34376497,0,nan,0.0025258181,0.11458832,0.11458832,0.11458832
0.063,-0.015408445,0.0020730896,0.0066892785,0.34924321,0,nan,0.0020730896,0.1164144,0.1164144,0.1164144
0.0635,-0.030655428,0.0012089958,0.0061589715,0.33903916,3.3746108e-05,nan,0.0012089958,0.1075023,0.11471195,0.11682491
0.064,-0.079984972,0.0021120185,0.0065803861,0.24910519,0.00023530835,nan,0.0021120185,0.051481399,0.0912116,0.10641219
0.0645,-0.11615492,0.012955359,0.0098709219,0.14959432,0.00032582975,nan,0.012955359,0.017785412,0.053777201,0.078031711
0.065,-0.14462756,0.031757358,0.017822915,0.068378462,0.00033994579,nan,0.031757358,0.0061775174,0.022269813,0.039931131
0.0655,-0.16797449,0.052238683,0.030375766,0.018821566,0.00031268665,nan,0.052238683,0.002964248,0.0053742305,0.010483088
0.066,-0.1875228,0.069465666,0.045660401,0.002052067,0.0002653377,nan,0.069465666,0.001788638,0.00017814225,8.5286747e-05
0.0665,-0.20413967,0.081021019,0.06093352,0.0057757141,0.00020756565,nan,0.081021019,0.00091863784,0.00090601517,0.0039510611
0.067,-0.21848278,0.086685812,0.073563718,0.014273023,0.0001393508,nan,0.086685812,0.00026405065,0.0032277985,0.010781174
0.0675,-0.2310193,0.087766626,0.082017363,0.017923133,6.8836459e-05,nan,0.087766626,2.6490373e-05,0.0046710393,0.013225603
0.068,-0.23987066,0.08636902,0.086719956,0.016912615,1.0618764e-05,nan,0.08636902,2.4189664e-05,0.0042954206,0.012593005
0.0685,-0.2448194,0.085121862,0.090432151,0.015887875,0,nan,0.085121862,6.0886349e-06,0.0039248896,0.011956897
0.069,-0.24928951,0.082056616,0.095864703,0.014955298,0,nan,0.082056616,9.0919846e-06,0.0035852269,0.01136098
0.0695,-0.25339562,0.075500052,0.10456583,0.014095014,0,nan,0.075500052,3.0966043e-05,0.0032699049,0.010794143
0.07,-0.25711639,0.06532878,0.11660135,0.013282409,0,nan,0.06532878,6.8164667e-05,0.0029704657,0.010243778
0.0705,-0.26042838,0.052691441,0.13079495,0.012511212,0,nan,0.052691441,0.00011949196,0.0026847194,0.0097070005
0.071,-0.26334128,0.039365334,0.14534542,0.011782763,0,nan,0.039365334,0.00018513635,0.002413182,0.0091844446
0.0715,-0.26589882,0.027101862,0.15847309,0.011098137,0,nan,0.027101862,0.00026532359,0.0021562716,0.008676542
0.072,-0.26816464,0.01718599,0.16886249,0.010457233,0,nan,0.01718599,0.00036004191,0.0019139564,0.0081832348
0.0725,-0.27020768,0.010244349,0.17585725,0.0098597324,0,nan,0.010244349,0.00046921958,0.0016861145,0.0077043983
0.073,-0.27209118,0.0062508888,0.17945629,0.009305515,0,nan,0.0062508888,0.00059282713,0.0014726989,0.007239989
0.0735,-0.27386445,0.0046791724,0.18016342,0.0087945887,0,nan,0.0046791724,0.00073086626,0.0012737125,0.00679001
0.074,-0.27555757,0.004754493,0.1787376,0.0083269738,0,nan,0.004754493,0.0008833421,0.0010891636,0.0063544681
0.0745,-0.27718072,0.0057381898,0.17590962,0.0079026723,0,nan,0.0057381898,0.0010502552,0.0009190529,0.0059333642
0.075,-0.27872897,0.0071574855,0.17215059,0.0075216796,0,nan,0.0071574855,0.0012316044,0.00076337867,0.0055266966
0.0755,-0.28019119,0.0089075051,0.16756576,0.0071839931,0,nan,0.0089075051,0.0014273889,0.0006221398,0.0051344643
0.076,-0.28155985,0.011200144,0.16194131,0.0068896124,0,nan,0.011200144,0.0016376088,0.00049533621,0.0047566674
0.0765,-0.28391528,0.013496967,0.15542998,0.0052691778,3.0656784e-05,nan,0.013496967,0.00049290397,0.00038296804,0.0043933058
0.077,-0.28574729,0.015693759,0.14800265,0.0043925719,4.7972535e-05,nan,0.015693759,6.3156806e-05,0.00028503533,0.0040443797
0.0775,-0.28722501,0.018431577,0.13939904,0.0051179422,4.5260754e-05,nan,0.018431577,0.0012065151,0.00020153807,0.0037098891
0.078,-0.28848974,0.022343922,0.12938298,0.0063185785,3.1945788e-05,nan,0.022343922,0.0027962684,0.00013247622,0.0033898339
0.0785,-0.28964062,0.027621709,0.1180027,0.0069858474,1.7771552e-05,nan,0.027621709,0.0038237836,7.7849777e-05,0.003084214
0.079,-0.29073617,0.033853964,0.10566496,0.0070345137,8.4038405e-06,nan,0.033853964,0.0042038254,3.7658754e-05,0.0027930296
0.0795,-0.29180303,0.040238814,0.092990257,0.0068341164,4.9288949e-06,nan,0.040238814,0.0043059326,1.1903146e-05,0.0025162806
