t,slab_KE,slab_PE,cube_KE,bystander_KE,total,max_pen
0.0685,0.0020851156,0.053764988,0.57292523,0.0001774548,-0.062700902,8.7089083e-06
0.069,0.0024761263,0.051978122,0.5812864,0.0002040368,-0.062771264,8.6611076e-06
0.0695,0.0028687913,0.050088225,0.5897067,0.00022961365,-0.062842395,8.6001395e-06
0.07,0.0032536524,0.04811387,0.59818577,0.00025396484,-0.062914297,8.5266771e-06
0.0705,0.0036213561,0.046074076,0.60672334,0.00027693445,-0.062986941,8.4426009e-06
0.071,0.0039629489,0.043987956,0.61531916,0.00029838541,-0.063060274,8.3506895e-06
0.0715,0.0042701776,0.04187434,0.62397298,0.00031816098,-0.063134215,8.2542358e-06
0.072,0.0045357638,0.039751424,0.63268457,0.00033605745,-0.063208661,8.1566371e-06
0.0725,0.0047536265,0.037636449,0.64145364,0.0003518099,-0.063283486,8.0622852e-06
0.073,0.0049190382,0.035545453,0.65027986,0.00036509205,-0.063358554,7.9931953e-06
0.0735,0.0050287093,0.033493088,0.65916289,0.00037552939,-0.063433715,7.9310029e-06
0.074,0.0050808063,0.031492509,0.66810237,0.00038272386,-0.063508819,7.8745209e-06
0.0745,0.0050749148,0.02955532,0.67709793,0.00038628713,-0.063583712,7.8218255e-06
0.075,0.0050119649,0.027691568,0.68614925,0.00038587883,-0.063658246,7.7705367e-06
0.0755,0.0048941317,0.02590976,0.69525611,0.00038124527,-0.063732279,7.7181246e-06
0.076,0.0047247235,0.024216915,0.70441837,0.00037225422,-0.063805677,7.6622141e-06
0.0765,0.0045080649,0.022618615,0.71363605,0.00035892184,-0.063878315,7.6008573e-06
0.077,0.0042493774,0.021119082,0.72290931,0.00034142851,-0.063950083,7.5327527e-06
0.0775,0.0039546577,0.019721255,0.73223849,0.00032012194,-0.06402088,7.4573929e-06
0.078,0.0036305497,0.018426893,0.74162412,0.00029550717,-0.064090625,7.3751319e-06
0.0785,0.0032842095,0.01723668,0.75106685,0.00026822468,-0.064159254,7.287169e-06
0.079,0.0029231604,0.016150359,0.76056746,0.0002390192,-0.064226719,7.1954546e-06
0.0795,0.0025551385,0.015166871,0.77012685,0.00020870229,-0.064292996,7.1025297e-06
0.08,0.0021879312,0.014284511,0.77974593,0.00017811253,-0.064358082,7.0113167e-06
0.0805,0.0018292124,0.013501085,0.78942564,0.00014807663,-0.064421993,6.9248806e-06
0.081,0.0014863789,0.012814068,0.79916691,0.00011937463,-0.06448477,6.8544021e-06
0.0815,0.0011663942,0.012220757,0.80897055,9.2711169e-05,-0.064546471,6.7965713e-06
0.082,0.00087564271,0.011718403,0.8188373,6.8694184e-05,-0.064607173,6.7487768e-06
0.0825,0.0006197995,0.011304341,0.82876778,4.7821343e-05,-0.06466697,6.7123966e-06
0.083,0.0004037172,0.010976088,0.83876244,3.0473782e-05,-0.064725967,6.688174e-06
0.0835,0.00023133167,0.010731433,0.84882162,1.6916144e-05,-0.064784283,6.6761839e-06
0.084,0.00010558712,0.010568501,0.8589455,7.3015676e-06,-0.064842043,6.6758627e-06
0.0845,2.8381072e-05,0.010485801,0.86913414,1.6801573e-06,-0.064899377,6.6860981e-06
0.085,5.2954642e-07,0.010482263,0.87938746,9.4901757e-09,-0.064956417,6.705362e-06
0.0855,2.175331e-05,0.010557245,0.88970531,2.16594e-06,-0.065013296,6.7318734e-06
0.086,9.0686353e-05,0.010710538,0.90008744,7.9558394e-06,-0.065070143,6.7637716e-06
0.0865,0.00020490783,0.010942338,0.91053354,1.7125814e-05,-0.065127082,6.7992833e-06
0.087,0.00036099852,0.011253211,0.92104325,2.9371912e-05,-0.065184227,6.8439163e-06
0.0875,0.00055462201,0.011644028,0.93161615,4.4347431e-05,-0.065241684,6.891268e-06
0.088,0.00078063001,0.012115886,0.9422518,6.1669524e-05,-0.065299544,6.9383284e-06
0.0885,0.0010331895,0.012670007,0.95294976,8.0924874e-05,-0.065357882,6.9844187e-06
0.089,0.0013059281,0.013307624,0.96370952,0.00010167477,-0.06541676,7.0293187e-06
0.0895,0.0015920936,0.014029851,0.97453059,0.00012346002,-0.065476219,7.0732245e-06
0.09,0.0018847212,0.014837547,0.98541245,0.00014580608,-0.065536283,7.1166737e-06
0.0905,0.0021768041,0.01573118,0.99635456,0.00016822876,-0.065596957,7.160449e-06
0.091,0.0024614596,0.01671069,1.0073564,0.00019024083,-0.065658225,7.2054695e-06
0.0915,0.0027320893,0.017775363,1.0184174,0.00021135958,-0.065720057,7.2526805e-06
0.092,0.0029825249,0.018923716,1.0295371,0.00023111557,-0.065782404,7.3029508e-06
