t,total,KE_slab,PEel_slab,KE_cubes,max_pen,impactor_y,KE_body0,KE_body1,KE_body2,KE_body3
0.0605,-0.01395157,0.0050947255,0.010612977,0.32228508,0,nan,0.0050947255,0.10742836,0.10742836,0.10742836
0.061,-0.01402432,0.0046422646,0.0093507343,0.32759009,0,nan,0.0046422646,0.1091967,0.1091967,0.1091967
0.0615,-0.014096628,0.0041381784,0.0082334779,0.33293841,0,nan,0.0041381784,0.11097947,0.11097947,0.11097947
0.062,-0.014168497,0.0035998466,0.007256629,0.33833004,0,nan,0.0035998466,0.11277668,0.11277668,0.11277668
0.0625,-0.014239931,0.0030455357,0.0064136954,0.34376497,0,nan,0.0030455357,0.11458832,0.11458832,0.11458832
0.063,-0.014310934,0.0024937548,0.0056968223,0.34924321,0,nan,0.0024937548,0.1164144,0.1164144,0.1164144
0.0635,-0.034338113,0.001355667,0.0051802053,0.33367601,4.6041041e-05,nan,0.001355667,0.1038736,0.11348332,0.11631909
0.064,-0.082344544,0.0023968654,0.0056662878,0.24289378,0.00024350581,nan,0.0023968654,0.049093745,0.088960642,0.10483939
0.0645,-0.11748587,0.013656684,0.009174107,0.14440536,0.00033056557,nan,0.013656684,0.016936292,0.051747308,0.075721757
0.065,-0.14505563,0.03282261,0.017474318,0.064978347,0.00034092872,nan,0.03282261,0.0059273011,0.021075424,0.037975621
0.0655,-0.16763211,0.053507791,0.030347213,0.017365009,0.00031002236,nan,0.053507791,0.0028935348,0.0049051784,0.0095662953
0.066,-0.18661012,0.070800803,0.045765843,0.0019299685,0.00026453752,nan,0.070800803,0.0017576854,0.00014291439,2.936866e-05
0.0665,-0.20282561,0.082383971,0.06090943,0.0061882052,0.00020367183,nan,0.082383971,0.00091433642,0.0010260591,0.0042478097
0.067,-0.21682865,0.088219824,0.073132772,0.014630672,0.00013290007,nan,0.088219824,0.00028228149,0.0032963648,0.011052026
0.0675,-0.22901045,0.089792582,0.08095009,0.01792742,6.3609092e-05,nan,0.089792582,3.5778315e-05,0.0046059031,0.013285738
0.068,-0.2372182,0.089289608,0.084956442,0.016847203,9.3769207e-06,nan,0.089289608,1.2579397e-05,0.0042232679,0.012611355
0.0685,-0.24179339,0.089044831,0.088140959,0.015815253,0,nan,0.089044831,7.9495425e-06,0.003848764,0.01195854
0.069,-0.24585156,0.086721846,0.093412309,0.014912619,0,nan,0.086721846,2.0647503e-05,0.0035172686,0.011374703
0.0695,-0.24952164,0.080466569,0.102421,0.014074882,0,nan,0.080466569,5.101363e-05,0.003210049,0.010813819
0.07,-0.25286044,0.0701255,0.11517112,0.013268569,0,nan,0.0701255,9.6505797e-05,0.0029125289,0.010259534
0.0705,-0.25591252,0.056962038,0.13030408,0.012501778,0,nan,0.056962038,0.00015568975,0.002626998,0.0097190905
0.071,-0.25871403,0.042933231,0.14581546,0.01178265,0,nan,0.042933231,0.00022925238,0.002357634,0.0091957639
0.0715,-0.261295,0.029961972,0.15977195,0.011109803,0,nan,0.029961972,0.00031770503,0.002104169,0.008687929
