substep_index,t_substep_s,q_norm_m,qdot_norm,q_acc_norm,KE_modal_J,PE_modal_J,P_damp_W,contact_lambda_max,max_support_deflection_m,n_iter_solves
2446,1.2739583333333333,0.00014495045137989833,2.9208303786610683e-05,0.005453592052355761,3.600396364201085e-10,0.00031303087406403887,2.5743270088598844e-10,1.2282220125198364,0.00014666704020367124,5
2447,1.2744791666666666,0.00014496560958309124,2.900374205364148e-05,0.007559648572997254,3.525477261856554e-10,0.0003130959146693391,2.377233094785247e-10,1.2281055450439453,0.00014668226822418264,5
2448,1.275,0.0001449806689120473,2.883107794120677e-05,0.00847252624522539,3.506549485387755e-10,0.00031316011797273536,2.2311286377244333e-10,1.2288621664047241,0.0001466972650977316,5
2449,1.2755208333333332,0.00014499578034336027,2.9202461562842806e-05,0.009172280326954307,3.5752795603248704e-10,0.00031322489006325386,2.205507965580713e-10,1.2266939878463745,0.00014671242239811251,5
2450,1.2760416666666667,0.00014501079262991073,2.8457038866633387e-05,0.010605389333194654,3.414681063389159e-10,0.0003132888441933601,2.0276424768277918e-10,1.2276161909103394,0.00014672735599030018,5
2451,1.2765625,0.00014502579004707397,2.9144978392494965e-05,0.01315061201472927,3.5630159324063665e-10,0.0003133527980086972,1.915233650467067e-10,1.2273505926132202,0.00014674229532837856,5
2452,1.2770833333333333,0.0001450408993092293,2.887853419376083e-05,0.01491652141949356,3.5163005692272115e-10,0.00031341775735618495,1.9422677524027975e-10,1.2285619974136353,0.00014675750596896038,5
2453,1.2776041666666667,0.0001450558405836455,2.850786121745135e-05,0.015384017086396504,3.4079555137371263e-10,0.00031348130526236324,2.0970602353538544e-10,1.2280925512313843,0.0001467723308566111,5
2454,1.278125,0.0001450708588183656,2.9173373481649602e-05,0.016202669250582558,3.589219521190613e-10,0.00031354563692067395,2.1688667991422593e-10,1.2298426628112793,0.0001467873746093319,5
2455,1.2786458333333333,0.00014508598663682802,2.8921129974868186e-05,0.017650730715998302,3.5088886820162466e-10,0.00031361090000903727,1.7977561814142283e-10,1.2292712926864624,0.00014680266232801356,5
2456,1.2791666666666666,0.00014510097047582487,2.8622389675835e-05,0.01872439115196687,3.451747878964565e-10,0.00031367489472236424,1.5695588183335457e-10,1.2279653549194336,0.00014681759944127102,5
2457,1.2796875,0.0001451159554337668,2.8925490581172692e-05,0.01959983764607907,3.51244681249283e-10,0.00031373907198664267,1.577166866908824e-10,1.2278742790222168,0.00014683259694163935,5
2458,1.2802083333333334,0.0001451309189215414,2.8541246516585008e-05,0.020672895413298677,3.431065587420497e-10,0.0003138030744996456,1.5172947868764033e-10,1.2288967370986938,0.00014684754267421413,5
2459,1.2807291666666667,0.00014514577876827391,2.852999385472374e-05,0.021495455812071348,3.416893117229726e-10,0.00031386629903482185,1.5176520848254704e-10,1.2259680032730103,0.00014686228352348522,5
2460,1.28125,0.0001451607792829691,2.9076965172873543e-05,0.021973700782688958,3.5632263437937287e-10,0.00031393084079250487,1.7420832495188486e-10,1.2304538488388062,0.00014687738492166842,5
2461,1.2817708333333333,0.00014517577100555385,2.8497350218747068e-05,0.022952901353320967,3.407468997335613e-10,0.00031399524360577473,1.719579496589414e-10,1.227670431137085,0.00014689243655563507,5
2462,1.2822916666666666,0.00014519061491975716,2.8512319632509954e-05,0.02404589396367132,3.425064091681959e-10,0.00031405847941904145,1.5824042187655778e-10,1.2285619974136353,0.00014690717821505068,5
