solver,scene,relax,iters,substeps,injects_off,ratio_off,ratio_on,passive_off,passive_on,holds_off,holds_on,cum_gain_off,cum_gain_on,cum_loss_off,cum_loss_on,max_net_excess_on,e_modal_peak_off,e_imp_peak_off,n_clamped_on,n_steps_on,finite_off,finite_on,wall_off_s,wall_on_s
avbd,ledge,1.0,16,4,False,0.17413334350524887,0.17421411896780403,,True,,True,,73.61282855655628,,549.6197492846495,-0.0028353920231053605,66.98938748286417,384.70166674795934,162,432,True,True,1.2047382080927491,1.2568405420752242
avbd,ledge,1.0,32,8,False,0.2620415366633875,0.2619279882655093,,True,,True,,101.2499077193798,,582.8393442642023,4.336808689942018e-19,101.18681517665006,386.14799953120524,353,864,True,True,4.578199583105743,4.738983957911842
avbd,dinner,0.7,4,1,True,1.1789056847360675,0.8715169021750266,,True,,True,,15.762409545974162,,16.729496590731127,-0.0006015286734769032,20.521135282611503,17.40693555753424,27,108,True,True,0.24362674995791167,0.2514092919882387
avbd,dinner,0.7,8,2,False,0.2310533122167059,0.2904711226883867,,True,,True,,7.027164880891024,,23.74935480976063,1.734723475976807e-18,5.397006744722254,23.35827473297755,45,216,True,True,0.9327904169913381,0.9042896250030026
avbd,dinner,0.7,16,4,False,0.2075845345799095,0.21354430590045015,,True,,True,,5.954058895880326,,25.191625796917105,6.505213034913027e-19,4.97072094613125,23.94552636683912,144,432,True,True,3.621711832936853,3.5604512919671834
avbd,dinner,0.7,32,8,False,0.28272205178676285,0.28431804588455023,,True,,True,,8.851031469619524,,26.89462409453963,3.469446951953614e-18,6.779820226161618,23.98051437202767,264,864,True,True,13.974024082999676,13.860492457984947
avbd,dinner,1.0,4,1,True,1.7003248508483917,0.8610076622135895,,True,,True,,16.15106761243525,,17.03297310419531,0.0,29.597445105591973,17.40693555753424,25,108,True,True,0.23524841701146215,0.2435363329714164
avbd,dinner,1.0,8,2,False,0.2617892400971109,0.2587237350129,,True,,True,,6.180233926643018,,23.838183259789293,1.734723475976807e-18,6.114944992325738,23.35827473297755,42,216,True,True,0.8937852919334546,0.8879648750880733
avbd,dinner,1.0,16,4,False,0.20804204784735808,0.2141266556534359,,True,,True,,6.1742036158396365,,25.49335594865622,4.7704895589362195e-18,4.981676342140118,23.94552636683912,144,432,True,True,3.5756655000150204,3.4157469579949975
avbd,dinner,1.0,32,8,False,0.2827343102395453,0.2843849752198164,,True,,True,,8.898734897793299,,26.90856626506966,2.42861286636753e-17,6.780114190164746,23.98051437202767,263,864,True,True,13.843130875029601,13.783801584038883
impulse,shelf,0.7,4,1,False,0.2734963360323582,0.2734963360323582,True,True,True,True,8.404602646263456,8.404602646263456,31.64151826535863,31.64151826535863,-0.03675684374999809,7.91799974049979,28.951026749999997,0,108,True,True,0.25856116600334644,0.2551987499464303
impulse,shelf,0.7,8,2,False,0.4734561413827708,0.4734561413827708,True,True,True,True,15.458974554416187,15.458974554416187,35.07479047202649,35.07479047202649,-0.009189210937499439,13.707041414124433,28.95102675000011,0,216,True,True,0.47469445795286447,0.4785583330085501
impulse,shelf,0.7,16,4,False,0.46918144535818657,0.46918144535818657,True,True,True,True,16.15654563471012,16.15654563471012,36.15346779513558,36.15346779513558,-0.0022973027343731406,13.583284575168515,28.951026749999983,0,432,True,True,1.092790958005935,1.0936320410110056
impulse,shelf,0.7,32,8,False,0.5314210974838222,0.5314210974838222,True,True,True,True,19.54524747084462,19.54524747084462,38.35581404298237,38.35581404298237,-0.0005743256835932852,15.385186408768405,28.951026749999833,0,864,True,True,2.7130649999016896,2.6861893329769373
impulse,shelf,1.0,4,1,False,0.2734963360323582,0.2734963360323582,True,True,True,True,8.404602646263456,8.404602646263456,31.64151826535863,31.64151826535863,-0.03675684374999809,7.91799974049979,28.951026749999997,0,108,True,True,0.25445549993310124,0.2555495409760624
impulse,shelf,1.0,8,2,False,0.4734561413827708,0.4734561413827708,True,True,True,True,15.458974554416187,15.458974554416187,35.07479047202649,35.07479047202649,-0.009189210937499439,13.707041414124433,28.95102675000011,0,216,True,True,0.4806063340511173,0.47499129199422896
