scene,control,solver,iters,substeps,relax,margin_J,eq2_violates,gross_supply_J,return_channel_J,cum_modal_gain_J,peak_net_modal_J,peak_modal_E_J,kick_realized_J,n_steps,finite,wall_s
shelf,modal_freevib,avbd,32,8,0.7,0.994121836779137,True,47.60997328400836,0.03054411607835514,0.18797615669109655,0.9941932613427757,0.16045648777311106,1.0000000000000002,864,True,4.975784540991299
ledge,modal_freevib,avbd,4,1,0.7,0.9646507256903968,True,57.6351679188122,0.0,0.6115301884670379,1.1548456265245512,1.1548456265245512,1.0000000000000002,108,True,0.10579983296338469
ledge,modal_freevib,avbd,8,2,0.7,0.9956747068622213,True,27.865168372698307,0.0,0.13149357481104573,1.0481716663116614,0.9149758533248363,1.0000000000000002,216,True,0.34954550000838935
ledge,modal_freevib,avbd,16,4,0.7,0.9986519919885012,True,27.846230484573617,0.016220056886383477,0.0077569697841940455,0.9989591911534819,0.6740134088685646,1.0000000000000002,432,True,1.2418634589994326
ledge,modal_freevib,avbd,32,8,0.7,0.9977247527328827,True,0.07426711880456906,157.43579320112173,0.0,0.9977247527328827,0.2920283240870535,1.0000000000000002,864,True,4.691478916909546
dinner,modal_freevib,avbd,4,1,0.7,0.992849385827684,True,33.00826186590052,0.0,0.010395340561163757,0.9936469538839205,0.8645088124226987,0.9999999999999999,108,True,0.25386929197702557
dinner,modal_freevib,avbd,8,2,0.7,0.9963267957073614,True,40.97708427908698,0.0,0.0,0.9971571504582549,0.8069627136146021,0.9999999999999999,216,True,0.9589859999250621
dinner,modal_freevib,avbd,16,4,0.7,0.9960225321201862,True,39.69621877413615,8.703317414981288e-05,0.0021982017348060254,0.9964579580711339,0.43485690290658036,0.9999999999999999,432,True,3.850142666953616
dinner,modal_freevib,avbd,32,8,0.7,0.9946019144004502,True,39.701422146160176,0.013240982287131142,0.2039854142676621,0.9947024111435003,0.17234933591957158,0.9999999999999999,864,True,14.9121284999419
shelf,modal_freevib,impulse,4,1,0.7,0.03288758706450896,True,0.17378032848061292,0.06730407484230522,0.09457624691293813,0.08282327184042365,0.034879622588534935,1.0000000000000002,108,True,0.23660770803689957
shelf,modal_freevib,impulse,8,2,0.7,0.06305733338374842,True,0.24225631207656645,0.13608324889582965,0.17909053443314185,0.11055920146861721,0.05165293041725612,1.0000000000000002,216,True,0.5150692920433357
shelf,modal_freevib,impulse,16,4,0.7,0.10185825190040014,True,0.40991210156526886,0.30347692584008323,0.35509937368250555,0.14513384662987922,0.08522801717590318,1.0000000000000002,432,True,1.2174404999241233
shelf,modal_freevib,impulse,32,8,0.7,0.15644569162942962,True,0.6743647220442867,0.5638298600378233,0.6175687508606587,0.16502151699962636,0.11901724189263282,1.0000000000000002,864,True,3.2254285409580916
ledge,modal_freevib,impulse,4,1,0.7,-0.0021873209822914604,False,0.07512075592156756,0.00015367745514893727,2.8022801812096424e-05,0.0011723931103149482,0.00019665997550140257,1.0000000000000002,108,True,0.36462804197799414
ledge,modal_freevib,impulse,8,2,0.7,0.006344801326525091,True,0.06579261285360455,0.0,4.4419226496309036e-05,0.006396087279297631,0.00019371407198917972,1.0000000000000002,216,True,0.7573802089318633
ledge,modal_freevib,impulse,16,4,0.7,0.02035316391158716,True,0.06486808767881175,0.0,0.00043436994321443916,0.02035316391158716,0.0001913954608994435,1.0000000000000002,432,True,1.6707256670342758
ledge,modal_freevib,impulse,32,8,0.7,0.04654772738901174,True,0.06448179628963957,1.734723475976807e-17,0.0018876343140498012,0.04654772738901174,0.00019114817384425467,1.0000000000000002,864,True,3.9408572079846635
dinner,modal_freevib,impulse,4,1,0.7,0.06837756821504935,True,0.28000804992145156,0.1470262727526014,0.1894601059653826,0.11482797092683068,0.11482797092683068,0.9999999999999999,108,True,1.5803111670538783
dinner,modal_freevib,impulse,8,2,0.7,0.1076301474350611,True,0.38065335379188725,0.2540350518829478,0.2926364376719436,0.14323213600365164,0.14297231870001853,0.9999999999999999,216,True,3.4106434169225395
dinner,modal_freevib,impulse,16,4,0.7,0.1612217239079398,True,0.46921906300404187,0.3524103819580677,0.3786345223479909,0.16240337961989182,0.16190213321697797,0.9999999999999999,432,True,7.68198895896785
dinner,modal_freevib,impulse,32,8,0.7,0.22977680085804578,True,0.5341833893618548,0.42592983089493447,0.4347905923112633,0.22977680085804578,0.17545313856573694,0.9999999999999999,864,True,19.060652790940367
